description,energy_kwh,gpu,num_gpus,hours,task,model,gpu_watts,model_compute_factor,task_multiplier,batch_size
Feature extraction GPT-2 on sixteen rtx 4090 GPUs for 19.4 hours.,68.4823,RTX 4090,16,19.4,feature extraction,GPT-2,450,1.6,0.25,64.0
"ResNet-152 feature extraction — 1 a100, 7.8h.",1.2018,A100,1,7.8,feature extraction,ResNet-152,400,1.3,0.25,16.0
gonna feature extraction ViT-Base on 16 3090s for about 126.9 hours,319.2763,RTX 3090,16,126.9,feature extraction,ViT-Base,350,1.4,0.25,
"Mistral-7B fine-tuning — two rtx 4090s, 3.2h.",2.8623,RTX 4090,2,3.2,fine-tuning,Mistral-7B,450,5.2,0.65,
"running Stable Diffusion evaluation on eight tesla t4s, roughly 54.9h",28.8443,T4,8,54.9,evaluation,Stable Diffusion,70,3.5,0.2,32.0
"Stable Diffusion, inference, 16x 3090, 1.7 hours",10.3039,RTX 3090,16,1.7,inference,Stable Diffusion,350,3.5,0.3,64.0
"RoBERTa, feature extraction, 8x a100 80gb, 75.4 hours",100.4665,A100,8,75.4,feature extraction,RoBERTa,400,1.5,0.25,
"Launch a pretraining job for VGG-16 on 1 tesla t4 GPU, duration 6.6 hours.",0.5435,T4,1,6.6,pretraining,VGG-16,70,1.2,1.0,128.0
Inference ViT-Large on 2 A100 GPUs for 13.6h.,8.0686,A100,2,13.6,inference,ViT-Large,400,2.1,0.3,
gonna training YOLOv8 on eight rtx3080s for about 0.7h,1.6546,RTX 3080,8,0.7,training,YOLOv8,320,0.8,0.9,
"LLaMA-7B, training, 2x h100, 15.9h",25.9039,H100,2,15.9,training,LLaMA-7B,700,5.0,0.9,256.0
How much will it cost to feature extraction VGG-16 on 2 a10s for 18.2 hours?,1.9503,A10G,2,18.2,feature extraction,VGG-16,150,1.2,0.25,256.0
"ResNet-152, fine-tuning, 16x pascal, 3.2h",11.8404,P100,16,3.2,fine-tuning,ResNet-152,250,1.3,0.65,32.0
How much will it cost to evaluation GPT-2 Large on 2 a10 gpus for 5.5 hours?,1.3402,A10G,2,5.5,evaluation,GPT-2 Large,150,3.0,0.2,128.0
"LLaMA-13B, inference, fourx rtx 3090, 0.5 hours",0.8575,RTX 3090,4,0.5,inference,LLaMA-13B,350,7.0,0.3,
Run feature extraction of YOLOv8 using 16x T4 for 1.7 hours.,0.4742,T4,16,1.7,feature extraction,YOLOv8,70,0.8,0.25,512.0
"Launch a fine-tuning job for LLaMA-13B on 8 T4 GPUs, duration 65.1 hours with batch size 512.",45.4515,T4,8,65.1,fine-tuning,LLaMA-13B,70,7.0,0.65,512.0
Planning to fine-tuning DistilBERT on WikiText-103 with 4 rtx a6000 GPUs for 0.5 hours.,0.6459,A6000,4,0.5,fine-tuning,DistilBERT,300,1.2,0.65,
How much will it cost to fine-tuning DistilBERT on 8 H100s for 1.8h?,10.0652,H100,8,1.8,fine-tuning,DistilBERT,700,1.2,0.65,
Planning to inference EfficientNet-B4 with 4 P100 GPUs for 3.2h with batch size 64.,1.098,P100,4,3.2,inference,EfficientNet-B4,250,0.9,0.3,64.0
Run training of GPT-2 using 4x a6000 for 10.1 hours on a custom NLP.,13.1193,A6000,4,10.1,training,GPT-2,300,1.6,0.9,32.0
"need to feature extraction Mistral-7B, planning two a6000s for 24 hrs",16.7932,A6000,2,24.0,feature extraction,Mistral-7B,300,5.2,0.25,128.0
Planning to evaluation BERT-base with 4 v100 GPUs for 15.9 hours with batch size 32.,7.0021,V100,4,15.9,evaluation,BERT-base,300,1.5,0.2,32.0
"need to inference EfficientNet-B4, planning 4 A100s for 14.7h",7.8731,A100,4,14.7,inference,EfficientNet-B4,400,0.9,0.3,256.0
How much will it cost to feature extraction EfficientNet-B4 on 16 A100s for 1.3 hours?,2.3182,A100,16,1.3,feature extraction,EfficientNet-B4,400,0.9,0.25,
"Launch a evaluation job for DistilBERT on 16 P100 GPUs, duration 15.9 hours.",18.1725,P100,16,15.9,evaluation,DistilBERT,250,1.2,0.2,
